honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
Hon.,Joyce,Murray,Vancouver Quadra,British Columbia,Liberal,2021-09-20T00:00:00,1705764558512
,Dan,Muys,Flamborough—Glanbrook,Ontario,Conservative,2021-09-20T00:00:00,1705764558512
,Yasir,Naqvi,Ottawa Centre,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
,John,Nater,Perth—Wellington,Ontario,Conservative,2021-09-20T00:00:00,1705764558512
Hon.,Mary,Ng,Markham—Thornhill,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
,Taleeb,Noormohamed,Vancouver Granville,British Columbia,Liberal,2021-09-20T00:00:00,1705764558512
,Christine,Normandin,Saint-Jean,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705764558512
,Jennifer,O'Connell,Pickering—Uxbridge,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
Hon.,Robert,Oliphant,Don Valley West,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
Hon.,Seamus,O'Regan,St. John's South—Mount Pearl,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1705764558512
,Jeremy,Patzer,Cypress Hills—Grasslands,Saskatchewan,Conservative,2021-09-20T00:00:00,1705764558512
,Pierre,Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative,2021-09-20T00:00:00,1705764558512
,Monique,Pauzé,Repentigny,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705764558512
,Rick,Perkins,South Shore—St. Margarets,Nova Scotia,Conservative,2021-09-20T00:00:00,1705764558512
,Yves,Perron,Berthier—Maskinongé,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705764558512
Hon.,Ginette,Petitpas Taylor,Moncton—Riverview—Dieppe,New Brunswick,Liberal,2021-09-20T00:00:00,1705764558512
,Louis,Plamondon,Bécancour—Nicolet—Saurel,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705764558512
Hon.,Pierre,Poilievre,Carleton,Ontario,Conservative,2021-09-20T00:00:00,1705764558512
,Marcus,Powlowski,Thunder Bay—Rainy River,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
Hon.,Carla,Qualtrough,Delta,British Columbia,Liberal,2021-09-20T00:00:00,1705764558512
,Alain,Rayes,Richmond—Arthabaska,Quebec,Independent,2021-09-20T00:00:00,1705764558512
,Brad,Redekopp,Saskatoon West,Saskatchewan,Conservative,2021-09-20T00:00:00,1705764558512
,Scott,Reid,Lanark—Frontenac—Kingston,Ontario,Conservative,2021-09-20T00:00:00,1705764558512
Hon.,Michelle,Rempel Garner,Calgary Nose Hill,Alberta,Conservative,2021-09-20T00:00:00,1705764558512
,Blake,Richards,Banff—Airdrie,Alberta,Conservative,2021-09-20T00:00:00,1705764558512
,Anna,Roberts,King—Vaughan,Ontario,Conservative,2021-09-20T00:00:00,1705764558512
,Yves,Robillard,Marc-Aurèle-Fortin,Quebec,Liberal,2021-09-20T00:00:00,1705764558512
Hon.,Pablo,Rodriguez,Honoré-Mercier,Quebec,Liberal,2021-09-20T00:00:00,1705764558512
,Churence,Rogers,Bonavista—Burin—Trinity,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1705764558512
,Sherry,Romanado,Longueuil—Charles-LeMoyne,Quebec,Liberal,2021-09-20T00:00:00,1705764558512
,Lianne,Rood,Lambton—Kent—Middlesex,Ontario,Conservative,2021-09-20T00:00:00,1705764558512
